id,name,state,label,population,lat,lng
5783695,"Tooele","UT","Tooele, UT",33157,40.53078,-112.29828
4156931,"Golden Glades","FL","Golden Glades, FL",33145,25.91176,-80.20033
4332628,"Marrero","LA","Marrero, LA",33141,29.89937,-90.10035
4997384,"Jackson","MI","Jackson, MI",33133,42.24587,-84.40135
5349803,"Foothill Farms","CA","Foothill Farms, CA",33121,38.67877,-121.35114
5421250,"Englewood","CO","Englewood, CO",33082,39.64777,-104.98776
4683244,"Copperas Cove","TX","Copperas Cove, TX",33081,31.12406,-97.90308
5108111,"Bath Beach","NY","Bath Beach, NY",33080,40.60455,-74.00431
5121650,"Huntington Station","NY","Huntington Station, NY",33029,40.85343,-73.41151
5394136,"Seaside","CA","Seaside, CA",33025,36.61107,-121.85162
5071348,"Kearney","NE","Kearney, NE",33021,40.69946,-99.08148
4218165,"Redan","GA","Redan, GA",33015,33.74538,-84.13158
5261585,"Manitowoc","WI","Manitowoc, WI",33010,44.08861,-87.65758
4920808,"Goshen","IN","Goshen, IN",32983,41.58227,-85.83444
4908737,"Saint Charles","IL","Saint Charles, IL",32974,41.91419,-88.30869
4157467,"Greenacres City","FL","Greenacres City, FL",32963,26.62368,-80.12532
4368711,"Salisbury","MD","Salisbury, MD",32899,38.36067,-75.59937
4191955,"Douglasville","GA","Douglasville, GA",32897,33.7515,-84.74771
7262349,"Security-Widefield","CO","Security-Widefield, CO",32882,38.74728,-104.71439
5814450,"University Place","WA","University Place, WA",32842,47.23565,-122.5504
5807540,"Pullman","WA","Pullman, WA",32816,46.73127,-117.17962
5554072,"Juneau","AK","Juneau, AK",32756,58.30194,-134.41972
5202215,"Mount Lebanon","PA","Mount Lebanon, PA",32730,40.35535,-80.0495
4829762,"Alabaster","AL","Alabaster, AL",32707,33.24428,-86.81638
4690198,"Farmers Branch","TX","Farmers Branch, TX",32689,32.92651,-96.89612
5378870,"Oildale","CA","Oildale, CA",32684,35.41968,-119.01955
5364134,"La Verne","CA","La Verne, CA",32681,34.10084,-117.76784
4517698,"Mason","OH","Mason, OH",32662,39.36006,-84.30994
4991735,"Eastpointe","MI","Eastpointe, MI",32657,42.46837,-82.95547
5826027,"Gillette","WY","Gillette, WY",32649,44.29109,-105.50222
4927537,"Valparaiso","IN","Valparaiso, IN",32626,41.47309,-87.06114
5778244,"Midvale","UT","Midvale, UT",32613,40.61106,-111.89994
5139301,"Spring Valley","NY","Spring Valley, NY",32598,41.11315,-74.04375
5134295,"Rome","NY","Rome, NY",32573,43.21285,-75.45573
5598538,"Lewiston","ID","Lewiston, ID",32544,46.41655,-117.01766
5164903,"North Ridgeville","OH","North Ridgeville, OH",32483,41.38949,-82.01903
4778626,"Petersburg","VA","Petersburg, VA",32477,37.22793,-77.40193
5427207,"Ken Caryl","CO","Ken Caryl, CO",32438,39.57582,-105.11221
4366476,"Randallstown","MD","Randallstown, MD",32430,39.36733,-76.79525
5176517,"Westlake","OH","Westlake, OH",32428,41.45532,-81.91792
4957280,"Bangor","ME","Bangor, ME",32391,44.80118,-68.77781
4151352,"Clermont","FL","Clermont, FL",32390,28.54944,-81.77285
5275020,"Sun Prairie","WI","Sun Prairie, WI",32365,43.1836,-89.21373
4292686,"Georgetown","KY","Georgetown, KY",32356,38.2098,-84.55883
5861897,"Fairbanks","AK","Fairbanks, AK",32325,64.83778,-147.71639
4351977,"College Park","MD","College Park, MD",32301,38.98067,-76.93692
5781993,"Springville","UT","Springville, UT",32286,40.16523,-111.61075
4944994,"Natick","MA","Natick, MA",32276,42.28343,-71.3495
5162097,"Massillon","OH","Massillon, OH",32252,40.79672,-81.52151
5814916,"Walla Walla","WA","Walla Walla, WA",32237,46.06458,-118.34302
4291945,"Florence","KY","Florence, KY",32227,38.99895,-84.62661
5016374,"Andover","MN","Andover, MN",32213,45.2333,-93.29134
4295251,"Hopkinsville","KY","Hopkinsville, KY",32205,36.86561,-87.49117
5830062,"Laramie","WY","Laramie, WY",32158,41.31137,-105.5911
4428475,"Greenville","MS","Greenville, MS",32156,33.40898,-91.05978
5180199,"Bethel Park","PA","Bethel Park, PA",32118,40.32757,-80.0395
4615145,"Cookeville","TN","Cookeville, TN",32113,36.16284,-85.50164
4948403,"Randolph","MA","Randolph, MA",32112,42.1626,-71.04116
5129603,"Oceanside","NY","Oceanside, NY",32109,40.63871,-73.64013
4889426,"Danville","IL","Danville, IL",32108,40.12448,-87.63002
4362743,"Montgomery Village","MD","Montgomery Village, MD",32032,39.17677,-77.19526
5164862,"North Olmsted","OH","North Olmsted, OH",32004,41.4156,-81.92347
4161534,"Land O' Lakes","FL","Land O' Lakes, FL",31996,28.2189,-82.45759
4170005,"Richmond West","FL","Richmond West, FL",31973,25.6105,-80.42971
4954611,"Watertown","MA","Watertown, MA",31915,42.37093,-71.18283
4835003,"Glastonbury","CT","Glastonbury, CT",31876,41.71232,-72.60815
5408431,"Westmont","CA","Westmont, CA",31853,33.9414,-118.3023
5098343,"Garfield","NJ","Garfield, NJ",31802,40.88149,-74.1132
5364306,"Laguna Hills","CA","Laguna Hills, CA",31748,33.61252,-117.71283
5278422,"West Bend","WI","West Bend, WI",31695,43.42528,-88.18343
5106453,"Willingboro","NJ","Willingboro, NJ",31668,40.02789,-74.86905
4903184,"Mundelein","IL","Mundelein, IL",31582,42.26308,-88.00397
5112035,"Centereach","NY","Centereach, NY",31578,40.85843,-73.09955
4643336,"Mount Juliet","TN","Mount Juliet, TN",31540,36.20005,-86.51861
4839222,"Naugatuck","CT","Naugatuck, CT",31538,41.48593,-73.05066
5312913,"San Luis","AZ","San Luis, AZ",31520,32.487,-114.78218
5110161,"Brighton Beach","NY","Brighton Beach, NY",31462,40.57788,-73.95958
4923531,"Michigan City","IN","Michigan City, IN",31459,41.70754,-86.89503
4152772,"Dania Beach","FL","Dania Beach, FL",31446,26.05231,-80.14393
5598542,"Lewiston Orchards","ID","Lewiston Orchards, ID",31422,46.38044,-116.97543
4941935,"Lexington","MA","Lexington, MA",31394,42.44732,-71.2245
4165637,"Navarre","FL","Navarre, FL",31378,30.40159,-86.86357
4471641,"Holly Springs","NC","Holly Springs, NC",31377,35.65127,-78.83362
4551177,"Shawnee","OK","Shawnee, OK",31286,35.32729,-96.9253
4893392,"Galesburg","IL","Galesburg, IL",31273,40.94782,-90.37124
5147968,"Bowling Green","OH","Bowling Green, OH",31246,41.37477,-83.65132
5792244,"Des Moines","WA","Des Moines, WA",31221,47.40177,-122.32429
5443948,"Wheat Ridge","CO","Wheat Ridge, CO",31192,39.7661,-105.07721
5294902,"Florence","AZ","Florence, AZ",31110,33.03145,-111.38734
4894861,"Gurnee","IL","Gurnee, IL",31056,42.3703,-87.90202
4588718,"Myrtle Beach","SC","Myrtle Beach, SC",31035,33.68906,-78.88669
4817641,"Parkersburg","WV","Parkersburg, WV",30991,39.26674,-81.56151
4164186,"Miami Lakes","FL","Miami Lakes, FL",30972,25.90871,-80.30866
5393485,"Saratoga","CA","Saratoga, CA",30968,37.26383,-122.02301
4154008,"East Lake","FL","East Lake, FL",30962,28.11085,-82.69482
5326032,"Banning","CA","Banning, CA",30945,33.92557,-116.87641
5352963,"Goleta","CA","Goleta, CA",30944,34.43583,-119.82764
4161461,"Lakeside","FL","Lakeside, FL",30943,30.12996,-81.76815
5100619,"Long Branch","NJ","Long Branch, NJ",30941,40.30428,-73.99236
5347287,"Fair Oaks","CA","Fair Oaks, CA",30912,38.64463,-121.27217
5218270,"Wayne","PA","Wayne, PA",30892,40.044,-75.38769
5800317,"Lake Stevens","WA","Lake Stevens, WA",30886,48.0151,-122.06374
5085520,"Dover","NH","Dover, NH",30880,43.19786,-70.87367
5207490,"Radnor","PA","Radnor, PA",30878,40.04622,-75.35991
5776008,"Holladay","UT","Holladay, UT",30864,40.66884,-111.82466
5775782,"Herriman","UT","Herriman, UT",30835,40.51411,-112.03299
8436572,"South Kingstown","RI","South Kingstown, RI",30826,41.44718,-71.52494
4154568,"Estero","FL","Estero, FL",30799,26.43814,-81.80675
5122432,"Ithaca","NY","Ithaca, NY",30788,42.44063,-76.49661
5129245,"North Tonawanda","NY","North Tonawanda, NY",30785,43.03867,-78.8642
5019330,"Brooklyn Center","MN","Brooklyn Center, MN",30770,45.07608,-93.33273
4365387,"Pikesville","MD","Pikesville, MD",30764,39.37427,-76.72247
4334971,"New Iberia","LA","New Iberia, LA",30754,30.00354,-91.81873
5454627,"Alamogordo","NM","Alamogordo, NM",30753,32.89953,-105.96027
4364946,"Parkville","MD","Parkville, MD",30734,39.37733,-76.53969
4224413,"Statesboro","GA","Statesboro, GA",30721,32.44879,-81.78317
4815352,"Morgantown","WV","Morgantown, WV",30708,39.62953,-79.9559
5368518,"Los Gatos","CA","Los Gatos, CA",30705,37.22661,-121.97468
4478334,"Matthews","NC","Matthews, NC",30678,35.11681,-80.72368
5368335,"Los Altos","CA","Los Altos, CA",30671,37.38522,-122.11413
5772959,"Clearfield","UT","Clearfield, UT",30653,41.11078,-112.02605
4937276,"Franklin","MA","Franklin, MA",30636,42.08343,-71.39673
4364727,"Owings Mills","MD","Owings Mills, MD",30622,39.41955,-76.78025
4569067,"Aiken","SC","Aiken, SC",30604,33.56042,-81.71955
4263108,"Plainfield","IN","Plainfield, IN",30590,39.70421,-86.39944
5656882,"Helena","MT","Helena, MT",30581,46.59271,-112.03611
4375663,"Ballwin","MO","Ballwin, MO",30577,38.59505,-90.54623
4838174,"Manchester","CT","Manchester, CT",30577,41.77593,-72.52148
4883078,"Algonquin","IL","Algonquin, IL",30571,42.16558,-88.29425
7257991,"Bel Air North","MD","Bel Air North, MD",30568,39.55429,-76.37309
4839497,"Newington","CT","Newington, CT",30562,41.69788,-72.72371
5106331,"Westfield","NJ","Westfield, NJ",30548,40.65899,-74.34737
5393245,"Santa Paula","CA","Santa Paula, CA",30546,34.35417,-119.05927
5347578,"Fallbrook","CA","Fallbrook, CA",30534,33.37642,-117.25115
4354163,"Eldersburg","MD","Eldersburg, MD",30531,39.40371,-76.95026
4828193,"Sherwood","AR","Sherwood, AR",30517,34.81509,-92.22432
5139287,"Springfield Gardens","NY","Springfield Gardens, NY",30515,40.66312,-73.76221
4205196,"Lawrenceville","GA","Lawrenceville, GA",30493,33.95621,-83.98796
4787117,"Springfield","VA","Springfield, VA",30484,38.78928,-77.1872
5776715,"Kaysville","UT","Kaysville, UT",30472,41.03522,-111.93855
4920869,"Granger","IN","Granger, IN",30465,41.75338,-86.11084
5331920,"Burlingame","CA","Burlingame, CA",30459,37.5841,-122.36608
5604353,"Post Falls","ID","Post Falls, ID",30453,47.71796,-116.95159
4395052,"Liberty","MO","Liberty, MO",30450,39.24611,-94.41912
5392508,"San Pablo","CA","San Pablo, CA",30407,37.96215,-122.34553
5046063,"Savage","MN","Savage, MN",30391,44.77913,-93.33634
5132143,"Poughkeepsie","NY","Poughkeepsie, NY",30371,41.70037,-73.92097
4133367,"Texarkana","AR","Texarkana, AR",30353,33.44179,-94.03769
5164916,"North Royalton","OH","North Royalton, OH",30311,41.31366,-81.72457
4887442,"Chicago Heights","IL","Chicago Heights, IL",30284,41.50615,-87.6356
4636045,"Lebanon","TN","Lebanon, TN",30262,36.20811,-86.2911
5406976,"Walnut","CA","Walnut, CA",30237,34.02029,-117.86534
5000500,"Madison Heights","MI","Madison Heights, MI",30198,42.48587,-83.1052
4152890,"DeLand","FL","DeLand, FL",30195,29.02832,-81.30312
5536630,"Cedar City","UT","Cedar City, UT",30184,37.67748,-113.06189
4167829,"Parkland","FL","Parkland, FL",30177,26.31008,-80.23727
5225627,"West Warwick","RI","West Warwick, RI",30146,41.69689,-71.52194
5122534,"Jamestown","NY","Jamestown, NY",30075,42.097,-79.23533
4481682,"New Bern","NC","New Bern, NC",30070,35.10849,-77.04411
5091872,"Rochester","NH","Rochester, NH",30038,43.30453,-70.97562
4681976,"Cleburne","TX","Cleburne, TX",30020,32.34764,-97.38668
4178560,"Winter Park","FL","Winter Park, FL",29943,28.6,-81.33924
4350413,"Carney","MD","Carney, MD",29941,39.39427,-76.52358
4733313,"Southlake","TX","Southlake, TX",29941,32.94124,-97.13418
5391760,"San Carlos","CA","San Carlos, CA",29931,37.50716,-122.26052
4231874,"Woodstock","GA","Woodstock, GA",29898,34.10149,-84.51938
7261759,"East Hill-Meridian","WA","East Hill-Meridian, WA",29878,47.41052,-122.17369
4903730,"Niles","IL","Niles, IL",29876,42.01892,-87.80284
4330525,"Laplace","LA","Laplace, LA",29872,30.06698,-90.48147
